index,sub_index,item_type,brand,product,film_format,film_speed_iso,process,expiry_date,date_added,md5,uuid,filename,author,notes,item_subtype,quantity
27,3,film_box_leaflet,Kodak,Ektacolor Pro Gold,220,160,C-41,200007,1736024592,3f90912ae1dcdc4af530b6c5d2e7d3ea,53e024b9a272410888a6d44549f7ceb0,00027_003.jpg,dekuNukem,,Multi-Pack-5,N/A
28,0,film_box_outside,Kodak,Tri-X 400,120,400,BW,202512,1736024650,45ee2f6b24a06945012c0f9f7ae4b7bd,f7f99b9d46a4491c9cbfda4f030f88c5,00028_000.jpg,dekuNukem,,Single Pack,N/A
29,0,film_box_outside,Polaroid,PolaChrome 35mm,35mm,40,Instant,199209,1736046040,09cfddc8dd7ae52d17cf02ac07a839f6,b0041b1e44a64f6591d49e918e033b60,00029_000.jpg,dekuNukem,,Single Pack,36exp
29,1,film_box_leaflet,Polaroid,PolaChrome 35mm,35mm,40,Instant,199209,1754313576,7f34e3c80f217205b9cd968846c8180f,1d0b621cf6f44481b941423f04103243,00029_001.jpg,dekuNukem,,Single Pack,36exp
29,2,film_box_leaflet,Polaroid,PolaChrome 35mm,35mm,40,Instant,199209,1754313578,1f2d4661616a42e54b8fea84b447b5df,ca6b169f6ec949a4a77874ccee054951,00029_002.jpg,dekuNukem,,Single Pack,36exp
29,3,film_box_leaflet,Polaroid,PolaChrome 35mm,35mm,40,Instant,199209,1754313581,687d8235666af6d767355ffa74948db4,705197bbfdc24b92a581a8070d4ee0d2,00029_003.jpg,dekuNukem,,Single Pack,36exp
29,4,film_box_leaflet,Polaroid,PolaChrome 35mm,35mm,40,Instant,199209,1754313583,b74a771df38627ff6c34621e2b3a8555,67abf5aa56574fafab78e2ade2112475,00029_004.jpg,dekuNukem,,Single Pack,36exp
30,0,film_box_outside,Rollei,Infrared,120,200,BW,202708,1736046075,eb1ea2f258d651e5036a96b6be331bfc,b7bb7d65979543d0a8e5c9179d734f54,00030_000.jpg,dekuNukem,,Single Pack,N/A
30,1,film_box_outside,Rollei,Infrared,120,200,BW,202708,1754578342,2e3f8474640e72f6f75b41d48290ecec,a950a24ab9da4b23b33e0b4b9d28d5d5,00030_001.jpg,The Compartmentalist,,Single Pack,N/A
31,0,film_box_outside,Polaroid,GridFilm,Integral Film,640,Instant,200610,1736046197,5f1b719a68bd00716ca5d8577ab310c1,4f1aabf29f724c9ea3b2bee414b08deb,00031_000.jpg,dekuNukem,,Multi-Pack-2,10exp
31,1,film_box_outside,Polaroid,GridFilm,Integral Film,640,Instant,200610,1736046204,8c0a0413f57a2a74c7808fbac96c0d1a,1dda008c9a844e1b9b64527511fdc282,00031_001.jpg,dekuNukem,,Multi-Pack-2,10exp
31,2,film_box_inside,Polaroid,GridFilm,Integral Film,640,Instant,200610,1736046208,49ee7709b9fcefb59aa9378b2dca83cf,727d6925fdca4834bd96d71c32f40077,00031_002.jpg,dekuNukem,,Multi-Pack-2,10exp
31,3,film_box_inside,Polaroid,GridFilm,Integral Film,640,Instant,200610,1736046214,85776f3faff6c374899401be29675d57,aa6fba27f7c9484291dbf8279a8e3d18,00031_003.jpg,dekuNukem,,Multi-Pack-2,10exp
32,0,film_box_outside,Fujifilm,Fujichrome Professional 100D,120,100,E-6,199212,1736046273,4d5869a6882515cea095f2f81c86a0c1,5dcdd19ddf654415b7eac69183e7439d,00032_000.jpg,dekuNukem,,Single Pack,N/A
32,1,film_box_leaflet,Fujifilm,Fujichrome Professional 100D,120,100,E-6,199212,1736046275,c435ca4ab2177e0fbd011f76e16cea5e,2e00754170744438a318b7f71da1c977,00032_001.jpg,dekuNukem,,Single Pack,N/A
32,2,film_box_leaflet,Fujifilm,Fujichrome Professional 100D,120,100,E-6,199212,1736046279,db36b26bb1adcc4649494bb76fefeaf0,2d0ef64e672342509bad0f88d7908974,00032_002.jpg,dekuNukem,,Single Pack,N/A
33,0,film_box_outside,Jessops,Diamond Everyday,APS,200,C-41,200610,1736046322,0fa60a27575a8fc386f25d66d01adeff,b53e5c167866448d812a4dc8e85967d3,00033_000.jpg,dekuNukem,,Single Pack,40exp
34,0,film_box_outside,Fujifilm,Fujicolor NPL 160,120,160,C-41,199807,1736046435,b79bdcb86abe287c451d4523b743cc8d,ce40cc432d9e445b987fdd72fd88d10b,00034_000.jpg,dekuNukem,,Single Pack,N/A
34,1,film_box_leaflet,Fujifilm,Fujicolor NPL 160,120,160,C-41,199807,1736046438,33899ae1eb7d7a57aa1eac5e7b25fe33,2e3f349e094b49d8ba6e026a98eb1455,00034_001.jpg,dekuNukem,,Single Pack,N/A
34,2,film_box_leaflet,Fujifilm,Fujicolor NPL 160,120,160,C-41,199807,1736046441,f531f27285c6d013266623177bbba0a3,10efb3e22574460db3db552e55684945,00034_002.jpg,dekuNukem,,Single Pack,N/A
35,0,film_box_outside,Kodak,Kodachrome 25,35mm,25,K-14,197801,1736046471,d8b943aed7ddca186795b8128126a6b6,483191da2aa742bba3343cbe9f296477,00035_000.jpg,dekuNukem,,Single Pack,20exp
35,1,film_box_leaflet,Kodak,Kodachrome 25,35mm,25,K-14,197801,1736046473,d31692e7b4e877dd309021584e532928,71a9b098894d4f00a8006ba4b37783b8,00035_001.jpg,dekuNukem,,Single Pack,20exp
35,2,film_box_leaflet,Kodak,Kodachrome 25,35mm,25,K-14,197801,1736046478,2bed0490dcf11762fa2b29424f7f2800,547384566f7d4aff89c18059a11e7f0b,00035_002.jpg,dekuNukem,,Single Pack,20exp
35,3,film_box_processing_envelope,Kodak,Kodachrome 25,35mm,25,K-14,197801,1736046482,5e7caeb28399f21ad0958628711aac85,a64a927ad3a348ae9eeb445a9725acfa,00035_003.jpg,dekuNukem,,Single Pack,20exp
35,4,film_box_processing_envelope,Kodak,Kodachrome 25,35mm,25,K-14,197801,1736046510,b87213bf8f94aae1b10c681f96ad282a,754d321490a3453981be592ac6221b8d,00035_004.jpg,dekuNukem,,Single Pack,20exp
36,0,film_box_outside,Konica,Infrared 750nm,120,32,BW,200003,1736085980,b49f863c50fd74afc126c9a53da7e389,63b2857f2df549878446cc1963362d93,00036_000.jpg,dekuNukem,,Single Pack,N/A
37,0,film_box_outside,Kodak,Technical Pan 6415,120,25,BW,198805,1736086038,7a34a2f430def88aafff771039cddbbe,3a03860d64d2400caee97955197703be,00037_000.jpg,dekuNukem,,Single Pack,N/A
37,1,film_box_leaflet,Kodak,Technical Pan 6415,120,25,BW,198805,1736086040,1f4e7b48d6bfd1c31dc4461bcb52a8db,579e1eee184e49669d586cf512ec1bc8,00037_001.jpg,dekuNukem,,Single Pack,N/A
37,2,film_box_leaflet,Kodak,Technical Pan 6415,120,25,BW,198805,1736086046,086a3d164ec190626d5f790579c66b5d,6bcd669b9d2e44c6929e55a446d1d075,00037_002.jpg,dekuNukem,,Single Pack,N/A
38,0,film_box_outside,Efke,IR 820 Aura,120,100,BW,201303,1736086160,1aaefdee86fb6a7b20a4278667021c40,716e410a3823476e9befa704361f43c9,00038_000.jpg,dekuNukem,,Single Pack,N/A
38,1,film_box_inside,Efke,IR 820 Aura,120,100,BW,201303,1736086162,e11c51146023db28ae579ad528bebba1,4c7b545000f04f4da046d18c43575e19,00038_001.jpg,dekuNukem,,Single Pack,N/A
39,0,film_box_outside,Konica,Infrared 750nm,120,32,BW,199102,1736086214,554c22eff2afd7ce00c75d1f799214e2,79a0275aee8e43e895b5794a8538e696,00039_000.jpg,dekuNukem,,Single Pack,N/A
39,1,film_box_leaflet,Konica,Infrared 750nm,120,32,BW,199102,1736086217,fee652eff3ef0ca47b9051e73f59e14f,b5abc293fb26450eab9bfdda971cf1ad,00039_001.jpg,dekuNukem,,Single Pack,N/A
40,0,film_box_outside,Fujifilm,Fujicolor 100,35mm,100,C-41,201007,1736682742,ecf194176385e44c01e58f11d2c6c689,27d88b35933b4ede958b5b5b5b42013b,00040_000.jpg,b0baspace,,Single Pack,12exp
41,0,film_box_outside,Kodak,Verichrome Pan,620,125,BW,197103,1736682812,c5b6e29fb3ae155bf774eec321b9d096,75c7c232d44949c3b1d766b0d2580195,00041_000.jpg,b0baspace,,Single Pack,N/A
42,0,film_box_outside,Kodak,Elite Chrome,35mm,100,E-6,200108,1736883648,822bb92f035ca8033f74cc904e92a58d,e0b3ec957ade47a99d5cd5abe2a4523c,00042_000.jpg,@ob.skura,,Single Pack,36exp
43,0,film_box_outside,Kodak,Ultra,35mm,400,C-41,200512,1736883694,ef81d7f1158bb8008794f48bbd700437,77dfbdf80e3a4950b40c7ea8c1e369a1,00043_000.jpg,@ob.skura,,Single Pack,24exp
44,0,film_box_outside,Fujifilm,Fujichrome Velvia,35mm,50,E-6,200101,1736883763,306dd5f049828db47e7e2089771de0bb,9b9ee1c1c0e94d968674987799d33182,00044_000.jpg,@ob.skura,,Single Pack,36exp
44,1,film_box_leaflet,Fujifilm,Fujichrome Velvia,35mm,50,E-6,200101,1736883767,61de8ebeb22ba4901e02c48244fb82e4,2e2e20a0b57542e4908ad9fc825e7e76,00044_001.jpg,@ob.skura,,Single Pack,36exp
44,2,film_box_leaflet,Fujifilm,Fujichrome Velvia,35mm,50,E-6,200101,1736883772,47e3432812d07155f874f8afac7de0da,03951cb49c8a44229aa4b5760744fc6f,00044_002.jpg,@ob.skura,,Single Pack,36exp
45,0,film_box_outside,Kodak,High Speed Ektachrome,35mm,160,E-4,197006,1736883871,6032ff6adc51444c16da8db94c9646ac,9702189f65de43c59fce151094a7ec3d,00045_000.jpg,@ob.skura,,Single Pack,36exp
45,1,film_box_leaflet,Kodak,High Speed Ektachrome,35mm,160,E-4,197006,1736883874,28a0b7e0f1e2684ba1aabb16fe3f7053,1fc1082f5b524367820b31b7669e86cd,00045_001.jpg,@ob.skura,,Single Pack,36exp
45,2,film_box_leaflet,Kodak,High Speed Ektachrome,35mm,160,E-4,197006,1736883879,38481a7088204674dceeedb15421edef,6b248d300438476aa38c9b6bce04fc87,00045_002.jpg,@ob.skura,,Single Pack,36exp
46,0,film_box_outside,Porst,Color N21,35mm,100,C-22,197401,1736884074,a317d58f048720aa4e7701a44da0ffa1,e08418889f714c9dbda0858718e0494a,00046_000.jpg,@ob.skura,,Single Pack,20exp
46,1,film_box_leaflet,Porst,Color N21,35mm,100,C-22,197401,1736884076,e869423af5d6a26dbdbf3f4252c11516,e9bc17db34fa4b779e283c96c92b2359,00046_001.jpg,@ob.skura,,Single Pack,20exp
47,0,film_box_outside,Rollei,Infrared,35mm,200,BW,202704,1737477709,494bf6d49706ed25c15d71a6715f8744,9ef642a09d294cbfad7e040a701deae2,00047_000.jpg,@ob.skura,,Single Pack,36exp
47,1,film_box_inside,Rollei,Infrared,35mm,200,BW,202704,1737477712,2450d85c976246bcc14f8e0a459ff7ed,5bbaeaec47a046a683f87f266c73e71e,00047_001.jpg,@ob.skura,,Single Pack,36exp
48,0,film_box_outside,Ilford,Delta 100 Professional,120,100,BW,202408,1737477814,2aaf2d853e3d4547d378376c00c3349f,e39c5eca4e3e4e5badfa00ee512deb8d,00048_000.jpg,@ob.skura,,Single Pack,N/A
48,1,film_box_inside,Ilford,Delta 100 Professional,120,100,BW,202408,1737477817,5942428ddad82d7acb19eb41e715b3d1,e4c76c5b957347178af448f4aa6001d0,00048_001.jpg,@ob.skura,,Single Pack,N/A
49,0,film_box_outside,Wolfen,NC500,35mm,400,C-41,202612,1737477883,306dda03514084ae946b4f48eee07906,6e3408d7e97247e380ea52077a7491c1,00049_000.jpg,@ob.skura,,Single Pack,36exp
50,0,film_box_outside,Shanghai,GP3,127,100,BW,202407,1737477955,bc5026cd028d2eeb980c3b777415075e,0e16f7ae50164c658acd22b8d62e52aa,00050_000.jpg,@ob.skura,,Single Pack,N/A
51,0,film_box_outside,York Photo Labs,DXG 200,35mm,200,C-41,199409,1738666458,9c6ef0a41cc09d618fc3d39429115193,46037fb6c55244b6ae47c55d0e454bf8,00051_000.jpg,b0baspace,,Single Pack,36exp
52,0,film_box_outside,Kodak,Ektachrome 200,35mm,200,E-6,199210,1738666510,79c7448cdff749dc1e8d624091326c8e,7d8346073bbe4d6a84e57cc2bb28b21e,00052_000.jpg,b0baspace,,Single Pack,36exp
52,1,film_box_leaflet,Kodak,Ektachrome 200,35mm,200,E-6,199210,1738666514,577319e12485b0ac53ad68f0bf5008a8,cbae471aa4184cbeabc5b1f8b49f8943,00052_001.jpg,b0baspace,,Single Pack,36exp
52,2,film_box_leaflet,Kodak,Ektachrome 200,35mm,200,E-6,199210,1738666518,1d647ed12e669816e2427340c3c4b382,c6c1d49626e14661a700da5b26e07ca8,00052_002.jpg,b0baspace,,Single Pack,36exp
53,0,film_box_outside,Fujifilm,Fujicolor NPS 160,35mm,160,C-41,200308,1738666571,2fe5f5494ea53c47ccfc5842e22b5f0c,576142521c2f4fe5abc387032bcc5e85,00053_000.jpg,b0baspace,,Single Pack,36exp
53,1,film_box_inside,Fujifilm,Fujicolor NPS 160,35mm,160,C-41,200308,1738666573,716cc556f2d4c05cf3aa13bc0a12ebf1,a11cf7e8abea41a8854da816157269c4,00053_001.jpg,b0baspace,,Single Pack,36exp
54,0,film_box_outside,GAF,Color Slide Film,126,64,AR-1,197401,1738666701,2aa9c283a4fe5958e3d9faa7aedd746e,c426ea17398c4c549c6a2720103adea6,00054_000.jpg,b0baspace,,Single Pack,20exp
54,1,film_box_leaflet,GAF,Color Slide Film,126,64,AR-1,197401,1738666704,1cdf0ec6f40a3a84cf002aa5e6aad8f1,f8987f712bca4daaae3f732500332332,00054_001.jpg,b0baspace,,Single Pack,20exp
54,2,film_box_leaflet,GAF,Color Slide Film,126,64,AR-1,197401,1738666712,f27b881e2e7cbd67ac8fd04b3dfd29bf,02c9a3b0b9f547c4ab3cabb2d1173fdf,00054_002.jpg,b0baspace,,Single Pack,20exp
54,3,film_box_processing_envelope,GAF,Color Slide Film,126,64,E-6,197401,1738666715,b6a970a887b41d0c86f4dc791f36ccc7,a332a7492f2b4a708c8a0ead5b9af986,00054_003.jpg,b0baspace,,Single Pack,20exp
54,4,film_box_processing_envelope,GAF,Color Slide Film,126,64,E-6,197401,1738666720,0edf8ea5072e53d2f672b4bc72f7f7ac,dd9347600c9a47299504239d1038f0dd,00054_004.jpg,b0baspace,,Single Pack,20exp
54,5,film_box_processing_envelope,GAF,Color Slide Film,126,64,E-6,197401,1738666725,11f70dda11017d8dfa2fee782d76e230,90cc6194552d42dd873d9af54a9bc283,00054_005.jpg,b0baspace,,Single Pack,20exp
55,0,film_box_outside,Fujifilm,Fujichrome Provia 100F,35mm,100,E-6,202009,1740175404,11a02661d9dfda0ff824e02e1abacdf9,a3603dbdd8ca49b893c8ce2bc76f356d,00055_000.jpg,@seklerek,,Single Pack,36exp
56,0,film_box_outside,Fujifilm,Fujichrome Velvia 100F,35mm,100,E-6,200703,1740175436,e855ec9f9e45b8d363b7a6fffb8e6d00,ce5c1d786286427ba5633091b06432d4,00056_000.jpg,@seklerek,,Single Pack,36exp
57,0,film_box_outside,Alien Film,5222/XX,35mm,250,BW,202406,1748116820,7e12b1520d94a257ab94ae5e9ba8f64d,9984ed6c13cd4be496e7e4b58e313e49,00057_000.jpg,dekuNukem,,Single Pack,36exp
58,0,film_box_outside,Kentmere,PAN 400,35mm,400,BW,202609,1748116856,353c31068a9fe6d21d1d75fa71f1b9ea,e876f866f1e9430494356ad098c7d223,00058_000.jpg,dekuNukem,,Single Pack,36exp
58,1,film_box_inside,Kentmere,PAN 400,35mm,400,BW,202609,1748116859,65e0277a51cb91495e6fe34b0b1f05e3,ecc653f10f124afe9b4225edb7e06587,00058_001.jpg,dekuNukem,,Single Pack,36exp
59,0,film_box_outside,Three Film Rolls,5207,35mm,250,ECN-2,202512,1748116909,3191daf4d9fb86ebe20ab760304d6c25,4de0f5e76dd748c488fa81be23340292,00059_000.jpg,dekuNukem,,Single Pack,36exp
60,0,film_box_outside,Kodak,Kodachrome 64,35mm,64,K-14,200705,1748116947,1a7d186200ebf9ae3542b767d2b4593d,dc9c151b87de48339e564e6692663206,00060_000.jpg,dekuNukem,,Single Pack,36exp
